Algorithm,rmse,best,worst,std,epsilon,near_optimal_count,mean,mse,mae,mean_runtime_sec,mean_dist_to_x_star
GD,26549.0395276364,1.247773017500076e-06,40036.0,19867.48244256832,1e-06,28,17610.640000699565,704851499.84,17610.640000699565,0.6598662042617798,3.902471763977494
SA,1.1201537711413192e-06,3.617264602515693e-10,5.720669903075985e-06,8.765099443336496e-07,1e-10,1,6.974774465789853e-07,1.2547444710021189e-12,6.974774465789853e-07,0.21551959037780763,1.4142073736498457
