Algorithm,mean,best,worst,std,epsilon,near_optimal_count
GD,-19.146565626190647,-50.56997556615458,11.683189565585703,12.321998768153488,0.01,1
SA,-22.034496828502032,-49.84538007844038,8.407382109566377,12.675915990003837,0.01,1
