Algorithm,mean,best,worst,std,epsilon,near_optimal_count
GD,-21.479863209046,-62.261498011158274,2.8215633890563954,15.113571490163237,0.01,1
SA,44.13866563431898,12.95894664705946,72.08858536969987,14.117494369356578,0.01,1
