Algorithm,rmse,rmed,best,worst,std,epsilon,near_optimal_count,mean,mse,med,mae,mean_runtime_sec
GD,1.2486856519986044e-06,1.4123187514936753,1.2477784786900362e-06,1.2528949047537437e-06,1.3430735034230807e-09,1e-06,50,1.2486849297003405e-06,1.5592158575071798e-12,1.412318033573929,1.2486849297003405e-06,0.6930265665054322
SA,1.9438379484802037e-06,1.413712339342971,8.382624465136798e-09,1.0759204896260911e-05,1.6551050035952129e-06,1e-09,1,1.0193789271050372e-06,3.778505969951726e-12,1.4137115535736993,1.0193789271050372e-06,0.18364941120147704
