Algorithm,rmse,best,worst,std,epsilon,near_optimal_count,mean,mse,mae,mean_runtime_sec,mean_dist_to_x_star
GD,199.62689047885428,-10.189026751755947,8.868896787079587,6.995497454894391,0.01,1,-0.4957182975386796,39850.89540225648,199.5042817024613,0.030735540390014648,
SA,381.3565985261522,142.13945135568986,198.1977337005178,21.67399277333886,0.01,1,180.74019130727203,145432.85523943685,380.740191307272,1.101039457321167,
