Algorithm,rmse,best,worst,std,epsilon,near_optimal_count,mean,mse,mae,mean_runtime_sec,mean_dist_to_x_star
GD,404.2190000482412,401.0,409.0,3.919183588453085,0.01,30,404.2,163393.0,404.2,0.5971475315093994,2.8284271247461903
SA,0.0005627735338623945,6.031002227004034e-06,0.0028350371973361885,0.0004697225909185308,1e-06,1,0.0003099592521554247,3.1671405041596767e-07,0.0003099592521554247,0.06959460258483886,1.4123320538058268
