Algorithm,rmse,best,worst,std,epsilon,near_optimal_count,mean,mse,mae,mean_runtime_sec,mean_dist_to_x_star
GD,36.34361664086157,11.08004086265174,50.772799879541274,9.874979703484772,0.01,1,34.97632408349502,1320.8584705379099,34.97632408349502,0.8949925422668457,3.5156879331042763
SA,19.65665654560423,0.9988874473494374,40.801039582013445,10.772510082714383,0.01,2,16.441933373836015,386.3841465518456,16.441933373836015,0.09716339111328125,3.218370503996114
