Algorithm,rmse,best,worst,std,epsilon,near_optimal_count,mean,mse,mae,mean_runtime_sec,mean_dist_to_x_star
GD,34.68158576052597,7.954594273971411,51.839660112501036,11.809371328696516,0.01,1,32.60906529917223,1202.8123908647178,32.60906529917223,0.873262882232666,3.388431953298496
SA,20.21445287627323,0.9966763701687711,40.800379040522635,11.447611700708086,0.01,2,16.660620979929963,408.62410508707114,16.660620979929963,0.1130737018585205,3.1482709211006688
