Run,Algorithm,FinalEnergy,T0,alpha,step_size,lr
1,SA,-120.0,50.0,0.99,0.1,
2,SA,-119.6185851238564,50.0,0.99,0.1,
3,SA,-160.0,50.0,0.99,0.1,
4,SA,-119.74372757084342,50.0,0.99,0.1,
5,SA,-119.70954715622219,50.0,0.99,0.1,
6,SA,-119.0483075408423,50.0,0.99,0.1,
7,SA,-119.85281817546667,50.0,0.99,0.1,
8,SA,-80.0,50.0,0.99,0.1,
9,SA,-160.0,50.0,0.99,0.1,
10,SA,-80.0,50.0,0.99,0.1,
11,SA,-160.0,50.0,0.99,0.1,
12,SA,-119.71380544777993,50.0,0.99,0.1,
13,SA,-119.54576605696887,50.0,0.99,0.1,
14,SA,-157.81318706991092,50.0,0.99,0.1,
15,SA,-159.56897694956587,50.0,0.99,0.1,
16,SA,-119.9027400944999,50.0,0.99,0.1,
17,SA,-160.0,50.0,0.99,0.1,
18,SA,-119.9433750217425,50.0,0.99,0.1,
19,SA,-120.0,50.0,0.99,0.1,
20,SA,-80.0,50.0,0.99,0.1,
21,SA,-79.99993970945569,50.0,0.99,0.1,
22,SA,-120.0,50.0,0.99,0.1,
23,SA,-119.47895958914796,50.0,0.99,0.1,
24,SA,-120.0,50.0,0.99,0.1,
25,SA,-120.0,50.0,0.99,0.1,
26,SA,-79.99262009636928,50.0,0.99,0.1,
27,SA,-120.0,50.0,0.99,0.1,
28,SA,-120.0,50.0,0.99,0.1,
29,SA,-120.0,50.0,0.99,0.1,
30,SA,-160.0,50.0,0.99,0.1,
31,SA,-119.8696806728223,50.0,0.99,0.1,
32,SA,-119.05127708267516,50.0,0.99,0.1,
33,SA,-79.99971249663363,50.0,0.99,0.1,
34,SA,-79.73917203422748,50.0,0.99,0.1,
35,SA,-80.0,50.0,0.99,0.1,
36,SA,-119.67292072379365,50.0,0.99,0.1,
37,SA,-159.64843424241872,50.0,0.99,0.1,
38,SA,-120.0,50.0,0.99,0.1,
39,SA,-159.99574077924788,50.0,0.99,0.1,
40,SA,-159.95464426558442,50.0,0.99,0.1,
41,SA,-120.0,50.0,0.99,0.1,
42,SA,-120.0,50.0,0.99,0.1,
43,SA,-120.0,50.0,0.99,0.1,
44,SA,-79.97746367861106,50.0,0.99,0.1,
45,SA,-120.0,50.0,0.99,0.1,
46,SA,-79.88328500775904,50.0,0.99,0.1,
47,SA,-118.96968270308253,50.0,0.99,0.1,
48,SA,-79.58319800115522,50.0,0.99,0.1,
49,SA,-80.0,50.0,0.99,0.1,
50,SA,-120.0,50.0,0.99,0.1,
1,GD,-26.060522974877635,,,,0.01
2,GD,-17.427606498624083,,,,0.01
3,GD,-34.22382960949926,,,,0.01
4,GD,-41.01411621886584,,,,0.01
5,GD,-29.90132306451568,,,,0.01
6,GD,-29.919832402801717,,,,0.01
7,GD,-5.764681548710498,,,,0.01
8,GD,-41.5201805118218,,,,0.01
9,GD,1.3063631344602036,,,,0.01
10,GD,-10.15371357223744,,,,0.01
11,GD,0.860813124563741,,,,0.01
12,GD,-33.52217781168932,,,,0.01
13,GD,0.7636551475048621,,,,0.01
14,GD,-41.913182980025496,,,,0.01
15,GD,8.967208771314805,,,,0.01
16,GD,-18.26434512629114,,,,0.01
17,GD,-21.458515957128558,,,,0.01
18,GD,-29.098066634190587,,,,0.01
19,GD,-2.7511448358177324,,,,0.01
20,GD,-5.813781290806177,,,,0.01
21,GD,-41.47829055143638,,,,0.01
22,GD,-2.4340951997675413,,,,0.01
23,GD,-3.5882842294369883,,,,0.01
24,GD,-2.6270316783705003,,,,0.01
25,GD,-29.963203597495276,,,,0.01
26,GD,-33.206312858287355,,,,0.01
27,GD,-18.329142655791482,,,,0.01
28,GD,-14.468553110968992,,,,0.01
29,GD,-29.811576189029626,,,,0.01
30,GD,-2.5251522510863333,,,,0.01
31,GD,-22.500375441855827,,,,0.01
32,GD,1.3341686715535506,,,,0.01
33,GD,1.4169767014286645,,,,0.01
34,GD,-22.200221488200206,,,,0.01
35,GD,-25.57934827457622,,,,0.01
36,GD,-26.35547486674071,,,,0.01
37,GD,-37.50101800058122,,,,0.01
38,GD,-17.9414235259782,,,,0.01
39,GD,4.777335848784928,,,,0.01
40,GD,-25.584738971163162,,,,0.01
41,GD,-49.11097453957645,,,,0.01
42,GD,-21.520196558680876,,,,0.01
43,GD,-60.890918440274845,,,,0.01
44,GD,-17.693489567191236,,,,0.01
45,GD,-14.796865508190375,,,,0.01
46,GD,-21.397893450368162,,,,0.01
47,GD,-10.389902712555003,,,,0.01
48,GD,15.92368994831638,,,,0.01
49,GD,-22.145977378262057,,,,0.01
50,GD,-33.67384981234566,,,,0.01
