Algorithm,rmse,best,worst,std,epsilon,near_optimal_count,mean,mse,mae,mean_runtime_sec,mean_dist_to_x_star
GD,0.0,0.0,0.0,0.0,1e-11,50,0.0,0.0,0.0,0.000613555908203125,2.470524420587073e-10
SA,0.2641331230758182,0.0036294737589148696,1.2604927828882282,0.22422245104168423,0.001,2,0.13960873595389672,0.06976630670578532,0.13960873595389672,0.36765710353851316,0.03306254976032364
