Algorithm,rmse,best,worst,std,epsilon,near_optimal_count,mean,mse,mae,mean_runtime_sec,mean_dist_to_x_star
GD,184.61954801583786,-49.27520825895869,20.391273988922737,14.961283999593304,0.01,1,-15.987670275451983,34084.37750957227,184.01232972454804,0.07595875263214111,
SA,89.96501609808253,-160.0,-79.76841897385849,24.409850713349137,1e-11,3,-113.40979668761449,8093.704121528248,86.59020331238551,1.5082866287231445,
