Algorithm,mean,best,worst,std,epsilon,near_optimal_count
GD,0.0,0.0,0.0,0.0,1e-11,50
SA,0.21627745266969192,0.0026217603552467494,1.5587705637365055,0.32235885988124663,0.001,1
