Algorithm,rmse,best,worst,std,epsilon,near_optimal_count,mean,mse,mae,mean_runtime_sec,mean_dist_to_x_star
GD,99850.3108245782,69384.74382419689,132551.72783266692,13341.743032141016,0.01,1,98754.95169332963,9970084571.76488,98954.95169332963,11.494411783218384,
SA,187.7084706017089,-37.22366124377605,38.710541541227,14.44917394164937,0.01,1,-12.848480348043724,35234.46993563262,187.15151965195625,6.443047747612,
