Algorithm,mean,best,worst,std,epsilon,near_optimal_count
GD,-26.10334170433064,-41.70220447627584,-17.715021823211398,8.791983745119184,0.01,1
SA,-19.62975846265362,-31.780399233212442,1.1479745447217633,12.111634592897488,0.01,1
