Algorithm,mean,best,worst,std,epsilon,near_optimal_count
GD,-16.590549585777623,-16.590549585777627,-16.590549585777627,3.552713678800501e-15,0.01,50
SA,45.481697055958506,-8.777039598466672,88.54940306309527,19.34669256416308,0.01,1
