Run,Algorithm,FinalEnergy,T0,alpha,step_size,lr
1,SA,-160.0,50.0,0.999,0.3,
2,SA,-120.0,50.0,0.999,0.3,
3,SA,-119.02316104467221,50.0,0.999,0.3,
4,SA,-158.57625868782242,50.0,0.999,0.3,
5,SA,-199.47846902367814,50.0,0.999,0.3,
6,SA,-160.0,50.0,0.999,0.3,
7,SA,-120.0,50.0,0.999,0.3,
8,SA,-119.33526652319429,50.0,0.999,0.3,
9,SA,-117.06547851034638,50.0,0.999,0.3,
10,SA,-119.91422610782526,50.0,0.999,0.3,
11,SA,-160.0,50.0,0.999,0.3,
12,SA,-160.0,50.0,0.999,0.3,
13,SA,-119.32564319192592,50.0,0.999,0.3,
14,SA,-120.0,50.0,0.999,0.3,
15,SA,-118.59278000566124,50.0,0.999,0.3,
16,SA,-119.4779580444165,50.0,0.999,0.3,
17,SA,-158.70801025633253,50.0,0.999,0.3,
18,SA,-119.0806492183432,50.0,0.999,0.3,
19,SA,-198.83019530408401,50.0,0.999,0.3,
20,SA,-159.71581652900178,50.0,0.999,0.3,
21,SA,-119.71547487327146,50.0,0.999,0.3,
22,SA,-120.0,50.0,0.999,0.3,
23,SA,-118.8398215601113,50.0,0.999,0.3,
24,SA,-160.0,50.0,0.999,0.3,
25,SA,-159.78194578440008,50.0,0.999,0.3,
26,SA,-160.0,50.0,0.999,0.3,
27,SA,-159.9172159276714,50.0,0.999,0.3,
28,SA,-79.48560333460073,50.0,0.999,0.3,
29,SA,-159.83459319874783,50.0,0.999,0.3,
30,SA,-158.18588454635568,50.0,0.999,0.3,
31,SA,-119.09558065650603,50.0,0.999,0.3,
32,SA,-120.0,50.0,0.999,0.3,
33,SA,-119.76821640000298,50.0,0.999,0.3,
34,SA,-160.0,50.0,0.999,0.3,
35,SA,-118.04003086501183,50.0,0.999,0.3,
36,SA,-159.47720194699752,50.0,0.999,0.3,
37,SA,-119.70231702320316,50.0,0.999,0.3,
38,SA,-117.98822596176205,50.0,0.999,0.3,
39,SA,-120.0,50.0,0.999,0.3,
40,SA,-160.0,50.0,0.999,0.3,
41,SA,-120.0,50.0,0.999,0.3,
42,SA,-118.39619081788229,50.0,0.999,0.3,
43,SA,-120.0,50.0,0.999,0.3,
44,SA,-156.27315711289543,50.0,0.999,0.3,
45,SA,-160.0,50.0,0.999,0.3,
46,SA,-158.80215860197885,50.0,0.999,0.3,
47,SA,-160.0,50.0,0.999,0.3,
48,SA,-160.0,50.0,0.999,0.3,
49,SA,-120.0,50.0,0.999,0.3,
50,SA,-157.60974355204522,50.0,0.999,0.3,
1,GD,-120.51390452205996,,,,0.5
2,GD,-144.0,,,,0.5
3,GD,-103.38271604938271,,,,0.5
4,GD,-131.0,,,,0.5
5,GD,-120.0,,,,0.5
6,GD,-139.99999999999886,,,,0.5
7,GD,-120.0,,,,0.5
8,GD,-132.0,,,,0.5
9,GD,-131.99999999999687,,,,0.5
10,GD,-110.99999999999602,,,,0.5
11,GD,-128.0,,,,0.5
12,GD,-123.0,,,,0.5
13,GD,-136.0,,,,0.5
14,GD,-144.0,,,,0.5
15,GD,-124.0,,,,0.5
16,GD,-137.38271604938274,,,,0.5
17,GD,-125.3827160493827,,,,0.5
18,GD,-111.99999999999876,,,,0.5
19,GD,-144.0,,,,0.5
20,GD,-128.0,,,,0.5
21,GD,-136.0,,,,0.5
22,GD,-129.3827160493827,,,,0.5
23,GD,-115.9999999999954,,,,0.5
24,GD,-103.9999999999971,,,,0.5
25,GD,-108.0,,,,0.5
26,GD,-107.99999999999375,,,,0.5
27,GD,-139.0,,,,0.5
28,GD,-116.0,,,,0.5
29,GD,-163.99999999999721,,,,0.5
30,GD,-132.0,,,,0.5
31,GD,-184.0,,,,0.5
32,GD,-124.0,,,,0.5
33,GD,-102.9999999999984,,,,0.5
34,GD,-111.9999999999984,,,,0.5
35,GD,-116.0,,,,0.5
36,GD,-108.0,,,,0.5
37,GD,-140.0,,,,0.5
38,GD,-148.0,,,,0.5
39,GD,-119.0,,,,0.5
40,GD,-184.0,,,,0.5
41,GD,-99.99999999999885,,,,0.5
42,GD,-139.99999999999721,,,,0.5
43,GD,-107.99999999999636,,,,0.5
44,GD,-115.99999999999733,,,,0.5
45,GD,-116.0,,,,0.5
46,GD,-119.9999999999965,,,,0.5
47,GD,-85.38271604938272,,,,0.5
48,GD,-119.99999999999875,,,,0.5
49,GD,-125.38271604938271,,,,0.5
50,GD,-120.0,,,,0.5
