Run,Algorithm,FinalEnergy,T0,alpha,step_size,lr
1,SA,-16.354450729413436,10.0,0.99,0.01,
2,SA,-15.777302211701281,10.0,0.99,0.01,
3,SA,4.200951256118534,10.0,0.99,0.01,
4,SA,-32.60319499040281,10.0,0.99,0.01,
5,SA,-22.87493674679192,10.0,0.99,0.01,
6,SA,-20.75422287092724,10.0,0.99,0.01,
7,SA,-16.7818566095617,10.0,0.99,0.01,
8,SA,-29.143806534896694,10.0,0.99,0.01,
9,SA,-13.03514596520868,10.0,0.99,0.01,
10,SA,-4.562253810434197,10.0,0.99,0.01,
11,SA,-29.258215321860263,10.0,0.99,0.01,
12,SA,-30.83330400667606,10.0,0.99,0.01,
13,SA,-20.284101881536,10.0,0.99,0.01,
14,SA,-35.54137177865017,10.0,0.99,0.01,
15,SA,-28.968405958424782,10.0,0.99,0.01,
16,SA,-31.51661680765917,10.0,0.99,0.01,
17,SA,0.1950072453444345,10.0,0.99,0.01,
18,SA,-23.800294623038063,10.0,0.99,0.01,
19,SA,-19.518175107938397,10.0,0.99,0.01,
20,SA,-32.11379505401862,10.0,0.99,0.01,
21,SA,-15.842646381699417,10.0,0.99,0.01,
22,SA,-16.21275525549028,10.0,0.99,0.01,
23,SA,-12.166925783884333,10.0,0.99,0.01,
24,SA,-44.26434280030067,10.0,0.99,0.01,
25,SA,-32.57657105892029,10.0,0.99,0.01,
26,SA,-19.304559988647632,10.0,0.99,0.01,
27,SA,-16.008594884023868,10.0,0.99,0.01,
28,SA,-8.901086963866168,10.0,0.99,0.01,
29,SA,-49.84538007844038,10.0,0.99,0.01,
30,SA,-35.18594400735047,10.0,0.99,0.01,
31,SA,-20.504694172415913,10.0,0.99,0.01,
32,SA,-21.779946984178082,10.0,0.99,0.01,
33,SA,-44.64501302996456,10.0,0.99,0.01,
34,SA,0.8208114351825359,10.0,0.99,0.01,
35,SA,-16.042501032401404,10.0,0.99,0.01,
36,SA,-32.56979775881375,10.0,0.99,0.01,
37,SA,-20.095263039628225,10.0,0.99,0.01,
38,SA,-23.878695586637857,10.0,0.99,0.01,
39,SA,-49.085909332878785,10.0,0.99,0.01,
40,SA,-23.652930233187657,10.0,0.99,0.01,
41,SA,-24.7410622482005,10.0,0.99,0.01,
42,SA,-29.505617588036753,10.0,0.99,0.01,
43,SA,-7.694339437045357,10.0,0.99,0.01,
44,SA,-8.012328999933668,10.0,0.99,0.01,
45,SA,-29.45306486220683,10.0,0.99,0.01,
46,SA,-16.296641862834978,10.0,0.99,0.01,
47,SA,-35.38433731409842,10.0,0.99,0.01,
48,SA,-26.010897513572687,10.0,0.99,0.01,
49,SA,-11.965694263515205,10.0,0.99,0.01,
50,SA,8.407382109566377,10.0,0.99,0.01,
1,GD,-13.68614282767651,,,,0.01
2,GD,-32.7875306220101,,,,0.01
3,GD,-12.817075598179283,,,,0.01
4,GD,-20.588775920488285,,,,0.01
5,GD,-16.32687488046807,,,,0.01
6,GD,-21.568141200001307,,,,0.01
7,GD,-9.519847925838759,,,,0.01
8,GD,-5.39781522396695,,,,0.01
9,GD,-9.296476348428387,,,,0.01
10,GD,-18.62333306379429,,,,0.01
11,GD,-16.944818918292494,,,,0.01
12,GD,-18.964624457914937,,,,0.01
13,GD,-33.05726592591334,,,,0.01
14,GD,-33.43375566913605,,,,0.01
15,GD,-4.2726660122265825,,,,0.01
16,GD,-20.258836458984295,,,,0.01
17,GD,11.683189565585703,,,,0.01
18,GD,-28.373851797045763,,,,0.01
19,GD,-15.77290426415425,,,,0.01
20,GD,-33.1873969839069,,,,0.01
21,GD,-16.352439007712935,,,,0.01
22,GD,-13.315241870345035,,,,0.01
23,GD,-16.921694332810432,,,,0.01
24,GD,-36.306326018172626,,,,0.01
25,GD,-13.08448300402217,,,,0.01
26,GD,-16.077644213926284,,,,0.01
27,GD,-13.305455144673354,,,,0.01
28,GD,-16.603405880450172,,,,0.01
29,GD,-37.48393142150953,,,,0.01
30,GD,-20.486394606072786,,,,0.01
31,GD,-25.172394410649705,,,,0.01
32,GD,-50.56997556615458,,,,0.01
33,GD,-33.16319117248263,,,,0.01
34,GD,4.644609287440244,,,,0.01
35,GD,-25.504149140537308,,,,0.01
36,GD,-28.6952495032532,,,,0.01
37,GD,-9.940477204843239,,,,0.01
38,GD,-20.49181343036411,,,,0.01
39,GD,-29.79864229264129,,,,0.01
40,GD,-12.736848501615208,,,,0.01
41,GD,-13.012002486847406,,,,0.01
42,GD,-25.379384341598836,,,,0.01
43,GD,-15.835184510258276,,,,0.01
44,GD,-4.477242924181565,,,,0.01
45,GD,-33.778050421218516,,,,0.01
46,GD,-16.500154178462815,,,,0.01
47,GD,-40.76685416090663,,,,0.01
48,GD,-29.79369823728416,,,,0.01
49,GD,7.033273524051633,,,,0.01
50,GD,-0.2588916051886581,,,,0.01
