Algorithm,mean,best,worst,std,epsilon,near_optimal_count
GD,1.248871252195335e-06,1.247783439323841e-06,1.2531726638497258e-06,1.57303763655015e-09,1e-06,50
SA,6.417437823428359e-07,8.67247818256829e-09,3.2486739406315014e-06,8.049680360153284e-07,1e-09,1
