Algorithm,rmse,rmed,best,worst,std,mean,mse,mean_runtime,mean_hamming_dist,med
GD,76.37791092754429,11.647070319391439,-184.0,-85.38271604938272,18.65849410189808,-125.93620401636623,5833.5852776558895,2.4362792348861695,,11.432130918501029
SA,65.34399964427622,11.027307863158232,-199.47846902367814,-79.48560333460073,24.34582309660616,-139.36074549221493,4269.838289511171,4.6168329668045045,,10.593276586679238
