step_size,T0,alpha,val_accuracy,val_precision_class1,val_recall_class1,val_f1_class1
0.001,5.0,0.95,0.4924392537202932,0.6137052272350085,0.4828571428571429,0.48957601222672653
0.001,10.0,0.95,0.5016898830236174,0.6048819345751537,0.5250151975683891,0.5266968796779391
0.001,20.0,0.95,0.4863751758347523,0.589673844919509,0.46969604863221887,0.46072176146317767
0.01,5.0,0.95,0.507191585844377,0.6262593825858471,0.5169908814589665,0.5086690898984476
0.01,10.0,0.95,0.4967017842600134,0.619083351083463,0.47805471124620064,0.48158432350811337
0.01,20.0,0.95,0.5000338713259791,0.6281654367397729,0.4890273556231003,0.49761230947127916
