lr,mean,best,worst,std,epsilon,near_optimal_count
0.0001,-1.1650249426677417,-1.1650249426677417,-1.1650249426677417,0.0,0.01,20
0.001,-20.641355531965974,-20.64135553196597,-20.64135553196597,3.552713678800501e-15,0.01,20
0.01,-22.32943073107368,-22.32943073107368,-22.32943073107368,0.0,0.01,20
0.05,23.879608549019007,23.87960854901901,23.87960854901901,3.552713678800501e-15,0.01,20
0.1,267427.6947569522,267427.6947569522,267427.6947569522,0.0,0.01,20
