Algorithm,rmse,rmed,best,worst,std,epsilon,near_optimal_count,mean,mse,med,mae,mean_runtime_sec
GD,0.0008029986706341296,8.017290415432531e-08,0.0008021745558370874,0.0008055990159374637,4.5432625872862134e-07,0.0001,50,0.0008029985421081598,6.448068650401794e-07,8.017285296705266e-08,0.0008029985421081598,1.6718946695327759
SA,0.014429047978149513,6.588290031571787e-06,0.0010794493841150832,0.03861166094937163,0.007087715692623025,0.001,5,0.012568281975524176,0.00020819742555574055,4.220781779193382e-06,0.012568281975524176,0.9466843366622925
