Algorithm,rmse,rmed,best,worst,std,epsilon,near_optimal_count,mean,mse,med,mae,mean_runtime_sec
GD,405.0197526047341,7.21110255092798,401.0,409.0,4.0,0.01,25,405.0,164041.0,6.000000000000001,405.0,1.0599832582473754
SA,0.0003618638967496648,2.003740014323619,2.2583873906814952e-06,0.0014101327306728765,0.00024744319166530745,1e-06,1,0.00026404042620276535,1.3094547977085208e-07,2.002770697831805,0.00026404042620276535,0.09637796878814697
