Algorithm,rmse,rmed,best,worst,std,epsilon,near_optimal_count,mean,mse,med,mae,mean_runtime_sec
GD,36.18216683423867,18.69797756415719,12.3419980869076,52.203054448547896,10.144788925926393,0.01,1,34.73085738171579,1309.149196820681,15.28196101158266,34.73085738171579,1.2998961639404296
SA,21.435761014853448,17.327706697096055,0.9979984977531693,40.802441920266396,10.668495649260233,0.01,1,18.592338499167514,459.49185028591097,14.256555814131083,18.592338499167514,0.11625355243682861
