Algorithm,rmse,rmed,best,worst,std,mean,mse,mean_runtime,mean_hamming_dist,med
GD,78.6673422217683,12.26061501409949,-156.0,-89.38271604938272,15.215670136856716,-122.81817497283977,6188.550732236809,1.6470100164413453,,12.171184278180945
SA,56.822596793169446,10.55864376713356,-200.0,-75.63585665900332,21.709764842303535,-147.48815736606653,3228.807506319111,4.179179077148437,,9.977575337533057
