Algorithm,rmse,rmed,best,worst,std,mean,mse,mean_runtime,mean_hamming_dist,med
GD,181.5029656837314,13.231211785524016,-60.890918440274845,15.92368994831638,16.222069756505416,-19.22342241096373,32943.326551989776,0.04633011817932129,,13.219525226427548
SA,85.95222708410687,11.683933198886125,-160.0,-79.58319800115522,26.40934512772982,-118.20555134581366,7387.785340717873,1.3365582847595214,,11.475246387093328
