lr,sigma,T0,rmse,rmed,best,worst,std,epsilon,near_optimal_count,mean,mse,med,mean_runtime
0.0001,0.1,0.01,37.294974758769264,4.358348599215271,8.059877825437075,61.78077902722757,13.93873745417228,0.01,1,34.59229307867422,1390.9151422572368,4.10980069631224,0.020106077194213867
0.0001,0.1,0.1,33.75152656963416,3.850034993110929,7.436264965077859,53.59297911217762,15.2374931689382,0.01,1,30.116180828705392,1139.1655457807203,3.6662134574848393,0.019955873489379883
0.0001,0.1,1.0,21.616441190928676,3.9255252039752646,5.012230816357349,38.04115351466721,10.121824546560195,0.01,1,19.100240773600984,467.270529760878,3.756937837308018,0.0369603157043457
0.0001,0.1,10.0,24.78740606753165,4.084146237538893,3.9798313027482344,50.88886071483376,12.653520565823968,0.01,1,21.314406321710557,614.4154995567048,3.937076404298505,0.03551149368286133
0.0001,0.5,0.01,36.58219064007472,4.376997472442193,1.062150287316106,58.073150153111484,16.594441128303963,0.01,1,32.60185877624195,1338.2566720267707,4.138154915683224,0.17659618854522705
0.0001,0.5,0.1,27.230116111323255,3.805267667898615,3.97983130300656,54.64829215890403,14.872014388014456,0.01,1,22.810138348524703,741.4792234361464,3.527460270957497,0.13809583187103272
0.0001,0.5,1.0,22.31111610192403,4.387923611720804,1.9899182275183005,40.79296684304079,11.103724298547348,0.01,1,19.351827004584937,497.78590171353363,4.18205289876561,0.046420931816101074
0.0001,0.5,10.0,20.357590096021696,4.0940995833492755,3.9798313049094016,40.792966840578174,11.327602449472584,0.01,1,16.914990312274593,414.4314745176406,3.8724113953351456,0.045249414443969724
0.0001,1.0,0.01,35.62192185580498,4.620303166531,4.231873789283811,55.47760396300181,16.50352655044543,0.01,1,31.56825823671334,1268.9213167010764,4.422749827585703,0.4569900631904602
0.0001,1.0,0.1,25.476654290672787,4.125308235190073,0.994959167268064,46.17683963037641,13.119649795859894,0.01,2,21.83883474639729,649.0599138464561,3.8507217350796785,0.21851654052734376
0.0001,1.0,1.0,22.738335554185944,4.357225729443787,1.989918224363036,40.79296684152412,10.473750387940772,0.01,1,20.18247895046263,517.0319037747566,4.110670615916549,0.06951489448547363
0.0001,1.0,10.0,22.495590569688,4.482773047690848,4.97479035852536,49.74744597854719,9.90510167374442,0.01,1,20.1975383626773,506.0515950790358,4.3475566311052996,0.028804945945739745
0.0001,2.0,0.01,30.879184058400536,3.946934828890922,5.736715016110824,61.22341508938987,13.186822357566788,0.01,1,27.92188611506312,953.5240081125779,3.6785137609352185,0.7850309014320374
0.0001,2.0,0.1,28.064831947697325,4.5580395897698684,0.9949591689534483,49.74744598488734,13.870550633263589,0.01,1,24.397594499920753,787.6347922524924,4.341228824269699,0.36422295570373536
0.0001,2.0,1.0,17.74254284305732,3.775556559111794,0.9949591663659589,33.82832429305165,10.465440235820958,0.01,1,14.32733007954323,314.7978265377245,3.4971863357439332,0.11449159383773803
0.0001,2.0,10.0,17.68105689518203,3.879014735508037,0.9949591694032289,28.85355423643054,9.160024557914397,0.01,1,15.123284135037242,312.619772930664,3.642400838423499,0.03775434494018555
0.001,0.1,0.01,23.405389342798117,4.488980422575826,0.9949590573689093,40.79296672729285,11.456457258246038,0.01,1,20.40984657899097,547.8122502879676,4.266333696705579,0.058473289012908936
0.001,0.1,0.1,21.902509976465268,4.393562890308967,1.9899181143933387,33.828324176407655,10.163595360160727,0.01,2,19.401579127073138,479.71994326916064,4.190810190653404,0.013354218006134034
0.001,0.1,1.0,18.005630186341328,3.9297314850410094,0.9949590574499023,33.82832417647245,9.12647391620491,0.01,1,15.52128191433032,324.2027184072861,3.7305975065538277,0.009570622444152832
0.001,0.1,10.0,20.06993491136347,3.929724221322509,0.9949590573309575,40.79296672733975,12.72369951197816,0.01,2,15.52126792743599,402.80228734636626,3.550082822520943,0.0075844407081604006
0.001,0.5,0.01,16.80084126494043,3.61505803232105,1.9899181144540528,40.792966727457184,9.303427698263402,0.01,1,13.989799865362993,282.2682672097252,3.3661543558380225,0.15329147577285768
0.001,0.5,0.1,19.205418322890452,3.879021023858927,0.9949590573077884,40.792966727412846,11.837820268398264,0.01,2,15.12329673881709,368.84809295721635,3.550287105074898,0.032207298278808597
0.001,0.5,1.0,20.921201505903564,4.071989050265661,0.9949590572704086,49.747445869303114,12.647503892349759,0.01,1,16.6654528214393,437.6966724506216,3.744456146978332,0.014160394668579102
0.001,0.5,10.0,15.99369381491923,3.628491839623115,0.9949590572615268,31.83848758517695,8.98270667888388,0.01,3,13.23288413636727,255.7982418453856,3.347922583100054,0.006740927696228027
0.001,1.0,0.01,24.838924236336144,4.650763260822509,1.9899181145472262,49.74744586953918,12.01490288899501,0.01,1,21.739693323192643,616.9721572184471,4.432828173432499,0.2982159614562988
0.001,1.0,0.1,17.13081945624515,3.846985230922389,0.9949590575371197,31.838487585148016,8.497805355596213,0.01,1,14.874551400995852,293.4649752424674,3.6472773602705386,0.04190096855163574
0.001,1.0,1.0,18.43752763473225,3.967337575699705,1.9899181145093934,40.792966727459365,9.469812822076058,0.01,1,15.819768342057325,339.9424252815153,3.7807416355495915,0.020388376712799073
0.001,1.0,10.0,20.03169347520358,4.035370365916296,0.9949590574456799,40.79296672724448,11.549475339102312,0.01,1,16.366990037144312,401.2687434845136,3.7329093413627845,0.008156752586364746
0.001,2.0,0.01,19.5840678685007,4.023672160147792,0.9949590574144231,49.747445869388784,10.87667905000542,0.01,1,16.28599297314151,383.5357142780416,3.7879744804607447,0.698154878616333
0.001,2.0,0.1,18.81750517282221,4.041495575628888,0.994959057345028,31.838487585322348,9.197248609698033,0.01,1,16.41673289484233,354.0985009291906,3.807904881745789,0.05690630674362183
0.001,2.0,1.0,18.335228363779454,3.8790207255089912,0.9949590574179883,33.82832417631686,10.366607370381058,0.01,1,15.123294971014207,336.1805991519426,3.613958041172707,0.026136720180511476
0.001,2.0,10.0,13.600337122241081,3.3959746861504665,1.9899181143720828,31.83848758533062,7.114256733494294,0.01,1,11.591226033881833,184.96916983860882,3.23652357973132,0.010704600811004638
0.01,0.1,0.01,37.53421828202026,4.07279408139979,9.235221544818693,47.87742680072233,10.246839202893618,0.01,1,36.108445388750624,1408.8175420423443,3.859271242421727,0.8840204834938049
0.01,0.1,0.1,30.58464725395965,3.2142046856046336,11.840185253057365,49.594580165296655,9.393280348695294,0.01,1,29.106475773270052,935.4206476491415,2.999600552190225,0.9680931091308593
0.01,0.1,1.0,31.600169041832874,3.4703072157117645,12.562896994732501,47.39691963265647,10.954915004228377,0.01,1,29.640521600041797,998.5706834724127,3.3256993727609463,0.8823551416397095
0.01,0.1,10.0,35.520819960874675,3.683633305467527,14.769529845019587,52.62275154307234,11.580811591895577,0.01,1,33.57995612811144,1261.7286506928726,3.348932378640155,0.7819470524787903
0.01,0.5,0.01,36.16074818393451,3.684965870345993,5.889064214186598,50.913444592677614,10.928264854342903,0.01,1,34.46988158516441,1307.599709221923,3.3017438935314756,0.9367589116096496
