lr,sigma,T0,ascent_method,rmse,rmed,best,worst,std,epsilon,near_optimal_count,mean,mse,med,mean_runtime
0.0001,2.0,1.0,ascent,2651.4874853928604,12.687590028668504,401.002505802756,3609.0,1377.6421416164758,0.01,7,2265.4995066954493,7030385.8851949535,10.94927561879736,1.4361868286132813
0.0001,2.0,10.0,ascent,2367.2514217678754,11.587119337906264,385.16260777113905,3609.0,1367.2127238604048,0.01,4,1932.5135605154856,5603879.293862027,9.599720879667993,1.4462601089477538
0.001,0.1,0.01,ascent,2255.113751601501,9.21177917860287,267.34595268736194,3570.9371614676274,1351.5146788571262,0.01,1,1805.255135845323,5085538.032662197,7.240846753660218,1.4582741260528564
0.001,0.1,0.1,ascent,2284.8004366922564,8.778985992948217,1.2380853190531518e-06,3609.0,1381.3218303004587,1e-06,1,1819.9623723155694,5220313.035509126,6.652772465048254,1.5389224529266357
0.001,0.1,1.0,ascent,2722.877989518346,11.776652515925335,257.0036782537091,3609.0,1327.7881640594578,0.01,1,2377.192280230416,7414064.545803471,10.05343126540719,1.5580565929412842
0.001,0.1,10.0,ascent,1824.2854260443178,7.486242491537423,1.2379306380360438e-06,3609.0,1342.3848113988913,1e-06,4,1235.3219555254657,3328017.315677698,4.969877001131332,1.4915544033050536
0.001,0.5,0.01,ascent,2356.7892285914545,8.926456615392876,310.7631231111116,3609.0,1403.6410030967943,0.01,4,1893.210871094429,5554455.468004703,7.009704910174667,1.971654167175293
0.001,0.5,0.1,ascent,2408.3480208797423,9.378955711320412,257.0035512288724,3609.0,1430.8651602001878,0.01,2,1937.2054829058952,5800140.189675372,7.521955170095582,1.7121241474151612
0.001,0.5,1.0,ascent,2270.2119795450544,9.352155719472893,257.0035512288724,3609.0,1411.6217419679626,0.01,2,1777.9725784368018,5153862.432069874,7.083102353796719,1.9431414222717285
0.001,0.5,10.0,ascent,2501.686163045554,8.040577635894355,1.238712401184676e-06,3609.0,1578.6832463309897,1e-06,1,1940.668149408196,6258433.658373586,6.209181988103609,1.8342531299591065
