lr,sigma,T0,ascent_method,rmse,rmed,best,worst,std,epsilon,near_optimal_count,mean,mse,med,mean_runtime
0.0001,2.0,1.0,ascent,11.005341812555342,22.467503213867175,4.558352167995864,14.278017826752556,2.373770494173698,0.01,1,10.746290618263087,121.1175484111789,19.422090301860838,2.3953590202331543
0.0001,2.0,10.0,ascent,9.89167521958663,18.62074580595161,5.859769903331287,13.407638533339204,2.1881140073960665,0.01,2,9.646626132509821,97.84523864978424,15.148928250534759,1.9759127235412597
0.001,0.1,0.01,ascent,11.565750089209303,24.685726756104838,4.558537962032034,14.099536621972138,1.9697350652312922,0.01,1,11.39678546340341,133.76657512604498,22.871230936938154,1.906747350692749
0.001,0.1,0.1,ascent,10.790387829861212,21.83024523337843,2.9405201934640357,13.55471475588952,2.485864591157767,0.01,1,10.500140320645482,116.43246951881696,19.43419646477483,2.632445888519287
0.001,0.1,1.0,ascent,0.008297023100134429,8.160276175644089e-06,0.008297019419643892,0.00829702463622839,2.0055947126206873e-09,0.001,25,0.008297023100134186,6.884059232416432e-05,8.160276175643916e-06,2.1429025650024416
0.001,0.1,10.0,ascent,0.00829702333888005,8.160276375514032e-06,0.008297019419643892,0.008297024636402472,1.9714263534626212e-09,0.001,25,0.008297023338879814,6.884059628592024e-05,8.160276375513864e-06,1.74624342918396
0.001,0.5,0.01,ascent,11.51843329252111,30.831387713410805,4.592992308706201,14.29693855541945,2.1902040582231117,0.01,1,11.308285090923453,132.6743055142587,26.812715236002397,1.8259637451171875
0.001,0.5,0.1,ascent,9.942811131303243,18.917925899697465,4.57931992309501,13.504193328412438,2.369465655287274,0.01,1,9.656351572989756,98.85949319276767,14.994954576932638,2.2442992401123045
0.001,0.5,1.0,ascent,9.711417954890603,17.17530626690902,2.9725993244359796,13.729371885434537,2.6065317120241955,0.01,1,9.355085842940394,94.31163869457157,13.963251302176808,3.2014842319488523
0.001,0.5,10.0,ascent,0.008297022919282845,8.160276024241517e-06,0.008297019419643892,0.008297024633986627,2.072271347083062e-09,0.001,25,0.008297022919282587,6.884058932310483e-05,8.160276024241334e-06,2.1629833793640136
0.001,1.0,0.01,ascent,12.190672885949041,32.3607634212272,11.88664865973817,12.642411176571153,0.2892087396704431,0.01,9,12.187241842070394,148.61250541221312,31.212859426730002,2.0357447910308837
