lr,sigma,T0,ascent_method,rmse,rmed,best,worst,std,epsilon,near_optimal_count,mean,mse,med,mean_runtime
0.001,0.5,0.1,ascent,54.74216281907887,18.00027357207731,40.49952860400758,72.6644318976276,9.705243554029256,0.01,3,53.87497227532943,2996.7043901105408,14.754616957694559,1.7237874031066895
0.001,0.5,1.0,ascent,53.33335035384418,14.994968756290145,40.48739384873325,66.62439293117751,7.636078903535503,0.01,2,52.78386646452561,2844.4462599658914,12.880084395125293,2.139204216003418
0.001,0.5,10.0,ascent,56.57885141958501,19.670563767173267,40.20331566422314,80.58538520114227,11.65977683582384,0.01,1,55.36439317917485,3201.166427959476,15.77211944031842,2.181187877655029
0.001,1.0,0.01,ascent,58.579031534351394,20.308551598156086,42.512293701960296,72.6656939320486,9.581726571738628,0.01,1,57.79008090846537,3431.502935502535,17.879583441266625,1.7783373928070068
0.001,1.0,0.1,ascent,58.30705355366817,21.25617885329992,40.50016759339408,80.70636229957351,12.710009320455205,0.01,3,56.904904509051505,3399.7124941103275,16.990283878992752,1.9141617584228516
0.001,1.0,1.0,ascent,56.396419845636046,19.363025241721687,40.483494520262234,80.69716985040996,11.89111814350187,0.01,1,55.12855413216033,3180.5561714052515,15.21707738937363,1.8806364345550537
0.001,1.0,10.0,ascent,59.039047643307974,20.969453544630213,44.43403431727187,80.64052531884647,9.98688407384251,0.01,1,58.18824016177513,3485.609146628789,18.40878733685001,2.3905049324035645
0.001,2.0,0.01,ascent,57.96563466902737,19.805372004630012,40.50251986234653,72.6657303984143,9.707747181823915,0.01,3,57.14695483782961,3360.0148025831477,17.234693654134762,2.345467233657837
0.001,2.0,0.1,ascent,57.40926039868608,19.8074898936857,40.502260144890535,80.70655122853108,11.015059387179907,0.01,2,56.342627256998284,3295.823179524146,16.42597586460237,2.025128231048584
0.001,2.0,1.0,ascent,59.08969835215972,21.161345376830834,40.50229236398802,72.66568364144068,10.716923641077072,0.01,1,58.10972379060626,3491.5924513492278,18.212613323396333,2.0861451625823975
0.001,2.0,10.0,ascent,62.75855828467168,25.08759118585103,42.50968425481368,80.70654193761152,12.737583213889685,0.01,2,61.452344233883935,3938.6366379705323,21.60079344227595,2.1291884899139406
0.01,0.1,0.01,ascent,60.5432240211466,22.248180497336456,40.46278409111647,80.6988179729606,10.01410874892382,0.01,1,59.7092924161681,3665.4819748747423,19.83547101369928,2.6309363269805908
