algorithm,lr,sigma,T0,mean,best,worst,std,rmse,mse,rmed,mean_runtime,mean_distance_to_x_star
Hybrid_SA_GD,0.0001,0.1,0.01,136.9391590359031,112.41092354835254,157.40249991517877,15.771202664626562,337.30806056972654,113776.72772531032,12.003191843087846,23.66563801765442,
Hybrid_SA_GD,0.0001,0.1,0.1,-14.537458614708294,-37.64613325935971,1.8925421442874524,12.52249575354675,185.8848222878582,34553.16715698863,13.565574673997094,19.458665657043458,
Hybrid_SA_GD,0.0001,0.1,1.0,-14.431238965052923,-37.12999498753379,2.1118143624323062,12.52714395350041,185.99111378686086,34592.69440767702,13.597324580843228,9.562929153442383,
Hybrid_SA_GD,0.0001,0.1,10.0,-13.898238780638952,-40.97781840652747,10.033102492771269,15.083605834755634,186.71202610953142,34861.380693926345,13.453955837084834,8.035245060920715,
Hybrid_SA_GD,0.0001,0.5,0.01,232.68590241624915,216.35839209239765,245.22194061174864,10.63710768652163,432.81663347161066,187330.23820969855,11.408355422272836,24.435404443740843,
Hybrid_SA_GD,0.0001,0.5,0.1,45.94051172347251,12.077978507031244,72.93405504704533,19.78674329188545,246.73518297337026,60878.2505169025,12.766824864493993,22.95872609615326,
Hybrid_SA_GD,0.0001,0.5,1.0,-15.338294392069418,-41.175354699359374,1.6509176100217862,12.00953932277371,185.0518158591676,34244.174552775265,13.49212741604051,17.379737854003906,
Hybrid_SA_GD,0.0001,0.5,10.0,-19.65675480791815,-41.198113084255496,12.892225661536179,15.756582113871373,181.03026257044021,32771.95596632252,13.216261539420332,8.732855415344238,
Hybrid_SA_GD,0.0001,1.0,0.01,254.0079823432447,235.87885704878,271.1661502397629,11.916609214970707,454.1643464722504,206265.2536065663,11.254024777610386,23.178608107566834,
Hybrid_SA_GD,0.0001,1.0,0.1,134.39756254786613,117.04844559268207,146.74537730245532,11.133388935911464,334.58284801697823,111945.68218715236,11.831352306188125,24.30033347606659,
Hybrid_SA_GD,0.0001,1.0,1.0,-25.496966221597233,-57.15840892129638,-2.4115129359934024,13.935613401306915,175.05859053110493,30645.51011873706,13.504156018047816,20.710747027397154,
Hybrid_SA_GD,0.0001,1.0,10.0,-21.61958474273195,-49.421635126220416,16.318044466688818,18.41385706299818,179.3283097541822,32158.642679291916,13.581093433265549,8.79732551574707,
Hybrid_SA_GD,0.0001,2.0,0.01,256.4706297175005,234.8111511921849,275.492650347061,14.106471884446298,456.68854632420783,208564.42834371811,11.416590473404998,22.14152557849884,
Hybrid_SA_GD,0.0001,2.0,0.1,200.06907082230882,156.21503333882694,235.79802573455314,27.802078110438448,401.0339349430226,160828.21697588445,11.291689305634408,23.096372175216676,
