algorithm,T0,alpha,step_size,mean,best,worst,std,rmse,mse,mean_runtime,mean_distance_to_x_star
SA_continuous,50,0.995,0.5,-134.52091298917304,-160.0,-76.12203038523393,25.55756492680937,70.2901128236363,4940.699960759522,,
SA_continuous,50,0.999,0.005,-115.53641152561042,-159.98892089747886,-25.68143788351124,38.25680892911272,92.72368202034299,8597.681207409678,,
SA_continuous,50,0.999,0.01,-120.32320664619822,-160.0,-48.43071146772992,29.063327375868464,84.81195904647727,7193.068397301337,,
SA_continuous,50,0.999,0.05,-129.469332684934,-199.7606327314868,-80.0,28.324700921246876,76.0056821177641,5776.863714186604,,
SA_continuous,50,0.999,0.1,-135.8796279961481,-160.0,-80.0,22.623154747877997,67.99433238630108,4623.229236658793,,
SA_continuous,50,0.999,0.3,-154.13724197113842,-200.0,-118.14107342029156,25.853699106679652,52.64794707785515,2771.806331512637,,
SA_continuous,50,0.999,0.5,-150.3722715054387,-200.0,-80.0,26.93315258240773,56.46508782918121,3188.3061435571476,,
SA_continuous,100,0.9,0.005,-116.97491854798463,-200.0,-12.550779350352624,44.189936245196655,94.05272253086738,8845.91461546833,,
SA_continuous,100,0.9,0.01,-120.41010109523522,-160.0,-35.33632605891463,36.588043160936714,87.59701427570032,7673.2369100172455,,
SA_continuous,100,0.9,0.05,-125.13813393450201,-200.0,-66.13456818325547,32.554134739577464,81.63375943475299,6664.070679451123,,
SA_continuous,100,0.9,0.1,-121.43192913931983,-199.76499760786535,-39.95500326555245,36.602435505791846,86.67571772834945,7512.680043724511,,
SA_continuous,100,0.9,0.3,-109.66358271122668,-160.0,-76.9150465585797,28.257471152317056,94.65280220096716,8959.152964495413,,
SA_continuous,100,0.9,0.5,-113.92514016359637,-160.0,-67.67849383977969,24.554716756071862,89.50874600187093,8011.815610827445,,
SA_continuous,100,0.95,0.005,-133.10757792933563,-198.04466417155479,-55.788443081928385,34.959694345301735,75.47699225059799,5696.776359196828,,
SA_continuous,100,0.95,0.01,-117.97885002337281,-160.0,-67.0368773628038,27.09905481814746,86.3818720306832,7461.827815525329,,
SA_continuous,100,0.95,0.05,-111.28078277427197,-159.92160467215672,-79.83943406763944,19.561682923460953,90.85020057184214,8253.758943943945,,
SA_continuous,100,0.95,0.1,-112.98370118456252,-160.0,-29.98203877759018,32.259053666459984,92.80346331356957,8612.482802993052,,
SA_continuous,100,0.95,0.3,-118.44214404633819,-160.0,-40.0,31.73559673614269,87.51475285891699,7658.831967957321,,
SA_continuous,100,0.95,0.5,-125.14650081568927,-160.0,-78.50956063383954,23.487459538471224,78.4519413125445,6154.707095706927,,
SA_continuous,100,0.99,0.005,-110.63420331992401,-159.82976226420539,-46.48294245148847,28.664346576105473,93.85036164501321,8807.890380899767,,
SA_continuous,100,0.99,0.01,-123.7642486604344,-199.90820466712827,-43.46090980352063,31.870105018864216,82.62925254546062,6827.593376221511,,
