T0,alpha,step_size,rmse,rmed,best,worst,std,epsilon,near_optimal_count,mean,mse,med,mean_runtime
10,0.9,0.005,20.704592902412603,4.2864046679646,3.979837042405155,40.79300370178188,9.363445601699103,0.01,1,18.466349225514396,428.68016725463434,4.134754232794727,0.09283041954040527
10,0.9,0.01,19.59124583148839,4.111862862718319,0.9949860498288512,40.79303142043929,9.748153438269414,0.01,1,16.993834698906763,383.81691322981123,3.8808916278933947,0.0868050765991211
10,0.9,0.05,23.185400285910774,4.440569498666925,0.9956239177552515,49.74892720194567,12.028548588171295,0.01,1,19.82112018226805,537.5627864179114,4.205056452342159,0.08456686019897461
10,0.9,0.1,18.900913119439675,3.9003777632280925,0.9974961985222439,40.80058516822783,11.113313159974822,0.01,1,15.28851815438426,357.24451674860677,3.610681193112884,0.10486457824707031
10,0.9,0.3,8.614458693035175,2.572052801015666,0.01539655216834035,19.963496003907085,5.431835177501811,0.01,1,6.686109868859705,74.2088985740093,2.341620316475506,0.13423672676086426
10,0.9,0.5,0.7634336355042711,0.5647358034038984,0.011094085045044721,2.0709825321294435,0.5631771444732007,0.01,2,0.5154245044255074,0.5828309158192684,0.3159668799249552,0.13267559051513672
10,0.95,0.005,21.058222728782603,4.004534330696837,7.683976285477456e-06,49.747452519951636,13.551785904728304,1e-06,1,16.11824566407348,443.4487444950162,3.6027612900533854,0.11902173042297363
10,0.95,0.01,19.138319365176336,3.989635085322101,0.994968139833798,40.79299634237432,10.502909052122758,0.01,2,15.998880259765722,366.2752681234835,3.7299569994442443,0.1115359115600586
10,0.95,0.05,20.104474872920942,4.13558735076629,0.00380040817756111,40.79504261154659,10.4182029853394,0.001,1,17.194503670422556,404.1899099159096,3.8970712913492007,0.10562941551208496
10,0.95,0.1,18.71899520924681,3.970231300144982,1.9921933903675235,40.79684783740469,9.969439725921319,0.01,2,15.843328349656424,350.40078164380503,3.7482859878755606,0.10266940116882324
10,0.95,0.3,8.733797466012142,2.506306119700218,1.0024042280268421,24.89296999806274,5.612714925228948,0.01,2,6.691535649268583,76.27921817732012,2.273660668073377,0.09894014358520507
10,0.95,0.5,0.4866821753928428,0.35246369551738294,0.00843801550283807,1.3362986369214642,0.3839927301525818,0.001,1,0.2990135833621547,0.2368595398451098,0.144758113486736,0.12533024787902833
10,0.99,0.005,21.594821308343995,4.318599733659694,1.990217096015101e-05,40.792984943587946,10.722140506155208,1e-05,1,18.7449195865326,466.33630733930784,4.042685410347434,0.1593321418762207
10,0.99,0.01,17.880421875340094,3.858551131835174,2.5996286916907252e-05,40.7929812714074,9.786905073012878,1e-05,1,14.964156358845472,319.7094864401406,3.5630908726162174,0.1571234130859375
10,0.99,0.05,19.22216954479079,4.0455642819169055,1.9902968996714954,40.79345168986991,9.489093091779432,0.01,1,16.71672558559919,369.49180200868267,3.8676814471927092,0.09757087707519531
10,0.99,0.1,21.426007425066263,4.121553722960818,0.0020018711822373803,40.80324915806792,12.282374545893205,0.001,1,17.55611203237748,459.0737941789947,3.7184822790598577,0.12364287376403808
10,0.99,0.3,4.567429968370513,1.8177415600330513,0.004043229953452965,9.989944324599351,2.7631266602690476,0.001,2,3.6368320796098756,20.86141651596907,1.6018111938749788,0.0931238842010498
10,0.99,0.5,0.5824398710547075,0.5264648016082145,0.0009219553360200194,1.1288159205246657,0.4388679942796612,0.0001,1,0.3829243880861751,0.33923620339422433,0.2929227772995851,0.08890174865722657
10,0.995,0.005,17.540543311582738,3.754516648759609,0.9949606706507321,40.79296931757777,10.340901715450576,0.01,2,14.168147775094003,307.6706596655099,3.4624649811429107,0.18156500816345214
10,0.995,0.01,19.497032706711735,4.029267606622019,0.9949693223013636,40.79301207079038,10.671506696710336,0.01,2,16.31726782242216,380.13428436658717,3.7739962423626,0.17284689903259276
10,0.995,0.05,22.536777848471033,4.422632116227293,0.9955181971561107,40.79410528505968,11.0155867093248,0.01,1,19.661210675863313,507.9063557913347,4.169358192948554,0.16309527397155762
10,0.995,0.1,21.09511318381228,4.12190928286929,1.9972897398763418,40.79441153127728,11.07636148189263,0.01,2,17.953217443129684,445.00380023785067,3.869288785023496,0.12269716262817383
10,0.995,0.3,3.664466679645096,1.3643572158579145,0.00649202538401461,10.014113830243081,2.589258243975501,0.001,1,2.5930788249172183,13.428316046229156,1.0400702995501252,0.1235335636138916
10,0.995,0.5,0.4211590000526021,0.2875371755183435,0.005606702245611217,1.2320449685832973,0.35784407342964547,0.001,1,0.2220867452969361,0.1773749033253077,0.09878155092888762,0.11305084228515624
10,0.999,0.005,22.34989874041753,4.178758846613894,0.9949769327401015,49.747490956350745,13.837678534294751,0.01,2,17.550972237697703,499.517973706917,3.827806274602338,0.6825523662567139
10,0.999,0.01,17.37613690561691,3.884094810748657,0.9950541913156314,28.853572608365294,8.485827278954195,0.01,1,15.163141796952862,301.93013376274206,3.6951003349359883,0.6103341388702392
10,0.999,0.05,16.1524720400126,3.653494538128194,0.9957864698469798,28.853632354674936,8.441271680277838,0.01,2,13.77124850633116,260.90235300338884,3.4107777987535184,0.4711013889312744
10,0.999,0.1,13.526196697185492,2.881688204099038,0.9959176299453105,31.840568737394314,8.465730227526715,0.01,4,10.549379546006115,182.9579970909517,2.5347839517025843,0.43722680091857913
10,0.999,0.3,1.4840627222025102,0.4842969393730208,0.0003835520939592385,4.018313901885245,1.1598936305519663,0.0001,1,0.9257909749161007,2.202442163431125,0.2477382524282558,0.2409545040130615
