Algorithm,mean,best,worst,std,epsilon,near_optimal_count
GD,0.0008029122450470716,0.0008024625704448063,0.0008032176270451608,9.936353816186303e-08,0.0001,50
SA,0.08206361065152762,0.0006656149845736259,3.574498762770468,0.49896826015132606,0.0001,1
