Algorithm,mean,best,worst,std,epsilon,near_optimal_count
GD,33.64657634745075,10.851259750961715,48.680971650593165,11.051722327932133,0.01,1
SA,16.38182116999093,1.9908221689619374,40.79523241320317,9.739794805376231,0.01,3
