Algorithm,mean,best,worst,std,epsilon,near_optimal_count
GD,403.56,401.0,409.0,3.731809212700992,0.01,34
SA,0.00039834206047045844,3.81197393297706e-06,0.004141693564446556,0.000730380373086063,1e-06,1
