Algorithm,mean,best,worst,std,epsilon,near_optimal_count
GD,0.11476228176937703,0.11467490206615993,0.11476406504802883,1.2482814745952943e-05,0.01,50
SA,6.248309228236613,0.00038708787088070906,10.999757366658708,2.9928706967502823,0.0001,1
