algorithm,lr,mean,best,worst,std,rmse,mse,mean_runtime,mean_distance_to_x_star
GD_continuous,0.0001,-10.67822037637643,-37.668977267792314,24.59854562906775,14.353354398720702,189.86509690396275,36048.755022351164,,
GD_continuous,0.001,-14.644651801477057,-45.37161140296073,8.333113785552175,12.316366932961326,185.7640923327838,34508.298000223025,,
GD_continuous,0.01,-13.144015926350608,-37.47113499818004,19.890088219752823,13.741360389220159,187.36057154449102,35103.98376947834,,
GD_continuous,0.05,-13.173990379406508,-49.35099193371117,12.881845025670373,13.704223188462654,187.3279573474106,35091.76360395329,,
GD_continuous,0.1,-7.397809883881973,-27.252971991323403,8.937453440750646,9.814763958267607,192.85210195660764,37191.933229081784,,
GD_continuous,0.3,-18.437718702362556,-74.084307064436,41.297825524662954,26.767945197794525,183.5248889936037,33681.38488011456,,
GD_continuous,0.5,-123.506609578209,-156.0,-98.99999999999774,15.08937796814303,77.96748107824202,6078.928105686026,,
