T0,alpha,step_size,mean,best,worst,std,epsilon,near_optimal_count
10,0.95,0.005,7.354740551592558,0.0007958016224915987,11.217552261888848,3.0363109944191127,0.0001,1
10,0.95,0.01,7.009018866703587,2.5799278526976797,11.217551901051618,2.683626312661102,0.01,2
10,0.95,0.05,8.135296134672199,2.5799963595769566,11.901544125161584,2.649726575358998,0.01,2
10,0.95,0.1,8.257131896674201,0.004270314322884605,11.901787378339545,2.605700018433782,0.001,1
10,0.95,0.3,0.04363050499499819,0.013370899676467207,0.10692596255754738,0.023658580281340866,0.01,5
10,0.95,0.5,0.07034974123560919,0.010229242092503643,0.1310570545280041,0.03036188229923368,0.01,1
10,0.99,0.005,7.548470428102109,3.574452493669725,11.901258226353818,2.795278998718552,0.01,4
10,0.99,0.01,7.935371129702759,2.579936661294504,11.217551480406836,2.4535492905759413,0.01,1
10,0.99,0.05,7.11494867614754,2.5800525508085888,10.258187577816813,2.0896334652185,0.01,2
10,0.99,0.1,4.786768114261268,0.0042036416744370975,11.901377441202555,4.109188744543958,0.001,1
10,0.99,0.3,0.04103729996842764,0.006748803402093717,0.07327565199951325,0.01864666429968205,0.001,1
10,0.99,0.5,0.062229859381518884,0.02520440726206319,0.11651180204179612,0.027515492883553386,0.01,3
10,0.995,0.005,8.357029835151067,3.574452100300832,11.901259540106896,2.308809215275441,0.01,2
10,0.995,0.01,8.099928393096874,4.884068349439943,11.901259363644538,2.1473352012917926,0.01,3
10,0.995,0.05,6.795009744006357,0.0017940728981327148,11.217701605214328,3.0565966133752602,0.001,1
10,0.995,0.1,3.6975465608061446,0.0018018430955106801,9.001965409641633,3.4037836978563853,0.001,1
10,0.995,0.3,0.04112504739355609,0.011711927529863164,0.07708711348732367,0.019287916508375188,0.01,5
10,0.995,0.5,0.09788565966062039,0.0038753559655408942,0.19632405540912545,0.05448117222821923,0.001,1
10,0.999,0.005,8.496459157991536,0.00023559286167129656,11.901261611481779,2.859558990206625,0.0001,1
10,0.999,0.01,7.7883104669422805,0.0010186222273280698,11.90128445522835,3.0021640672401153,0.001,1
10,0.999,0.05,3.999639406274293,0.0007035954708176639,10.120482371003042,3.64015773656334,0.0001,1
10,0.999,0.1,0.013820393647239814,0.0021977720908208376,0.03429359264268372,0.007494835692472943,0.001,1
10,0.999,0.3,0.03544938952034569,0.0035120614054702237,0.08984888939834734,0.020903919633736442,0.001,1
10,0.999,0.5,0.08467973871324519,0.01460915066552504,0.14184342723285726,0.03522138280577225,0.01,2
50,0.95,0.005,7.997748689149016,0.00029221851607674765,10.99826520131715,3.097843813649341,0.0001,1
50,0.95,0.01,7.589786321836755,3.574455104427955,11.21754951580293,1.9990432101909863,0.01,1
50,0.95,0.05,7.487901875027316,2.5800367109169895,10.12057341448159,1.9449896282615076,0.01,1
50,0.95,0.1,7.63814744827482,3.5752683191398344,11.902538702496303,2.205192458302103,0.01,1
50,0.95,0.3,0.049398576611204795,0.014329676640031597,0.1191138365544302,0.03067089351460485,0.01,6
50,0.95,0.5,0.07534176740696301,0.02200131499979152,0.19820349219644884,0.05141354773316013,0.01,6
50,0.99,0.005,7.2637503218224,0.0001883118778640558,11.90126631639556,2.6398386768509736,0.0001,1
50,0.99,0.01,8.568627897721004,4.884065282822377,12.632271246008514,2.4160329372675204,0.01,4
50,0.99,0.05,6.418628791124917,0.00770868860043139,10.645087834055204,3.3113392948411176,0.001,2
50,0.99,0.1,4.499173602207789,0.00466495620024121,10.258678832720474,3.240422422022003,0.001,2
50,0.99,0.3,0.047590918641637094,0.007700871243720986,0.08664500404072273,0.021958777571632088,0.001,1
50,0.99,0.5,0.09253324682965162,0.02852118959798533,0.20829034704355154,0.05604537941590993,0.01,4
50,0.995,0.005,8.292119248261926,3.574456187517829,12.632272654631487,2.184270227635118,0.01,1
50,0.995,0.01,8.728664568247167,3.574452865198396,11.901268180746948,2.298798290864755,0.01,1
50,0.995,0.05,6.445819865195512,0.0028453800700423137,10.645336363749353,2.830640703107957,0.001,1
50,0.995,0.1,4.120788359745067,0.0033968931965771,10.998787564808044,3.62871077594961,0.001,2
50,0.995,0.3,0.04467463882649083,0.011470279172887121,0.11816352299718647,0.028773216152364625,0.01,4
50,0.995,0.5,0.08628890608712228,0.013817433679190305,0.19397049800560184,0.04752593104870757,0.01,3
50,0.999,0.005,7.167830960259148,3.574451895117005,11.901257271854831,2.580894534010966,0.01,3
50,0.999,0.01,7.758480851560935,3.5744530606485907,10.998269849684771,2.528759721601618,0.01,4
50,0.999,0.05,1.839734417288454,0.0023945179944999673,10.120455759480969,3.072541623650012,0.001,3
50,0.999,0.1,0.015286952451852987,0.008346036968494008,0.027674013549792154,0.0053530347441066144,0.001,1
50,0.999,0.3,0.03425350893066357,0.009809073124124712,0.07657865102812922,0.017225597427574024,0.001,1
50,0.999,0.5,0.07881149753515145,0.0071027936828405025,0.3111381335172685,0.06325514363513386,0.001,1
100,0.95,0.005,7.578127209674868,2.579927779398258,11.901258730951294,2.550022555237539,0.01,1
100,0.95,0.01,7.755169340333016,0.0007314743668414003,11.901261198439272,3.2982102333883283,0.0001,2
100,0.95,0.05,7.590423944010672,2.5801313812051636,11.901339890785405,2.6684135545524486,0.01,2
100,0.95,0.1,6.948140768049437,0.00953381681968013,11.902361723317616,3.336251096528529,0.001,1
100,0.95,0.3,0.04072380076141977,0.008543683971141025,0.09275273008310636,0.025586244213242623,0.001,1
100,0.95,0.5,0.07628510788967793,0.0051063886674680425,0.30858759445364514,0.06544023358479918,0.001,1
100,0.99,0.005,7.65196000120369,3.5744522890003023,12.63227036635499,2.824970806166339,0.01,4
100,0.99,0.01,8.079873752774198,0.0006536524061329096,11.90125891070294,3.149497956434702,0.0001,1
100,0.99,0.05,7.774815708532634,2.580014868013365,11.21767725632454,2.1871918217188133,0.01,1
100,0.99,0.1,5.116355044859172,0.0016606188805252664,11.218300819172098,3.3576304414748446,0.001,1
100,0.99,0.3,0.044193279484268454,0.008586399745724282,0.10318945961964276,0.02686240729269288,0.001,2
