T0,alpha,step_size,mean,best,worst,std,epsilon,near_optimal_count
10,0.95,0.005,7.781733687601148e-07,7.782303568790867e-08,2.299782565787305e-06,6.616327938308071e-07,1e-08,1
10,0.95,0.01,4.840084721014646e-06,1.1028643164413224e-07,2.5838943333830086e-05,6.3796944365426515e-06,1e-07,1
10,0.95,0.05,7.816788127545777e-05,4.117836383020933e-06,0.00022865224453378773,7.112336993333843e-05,1e-06,1
10,0.95,0.1,0.0003112800541483706,1.24556061953962e-06,0.0009674579822271835,0.00026984107385246645,1e-06,1
10,0.95,0.3,0.0019197348517985663,4.73272655777285e-05,0.009942650356597435,0.002614566606124777,1e-05,1
10,0.95,0.5,0.02026676707097631,0.00014024475035238345,0.27050051364780736,0.05773194225374781,0.0001,3
10,0.99,0.005,9.314312004371194e-07,7.18947518147159e-09,7.08957566512567e-06,1.5490561911647055e-06,1e-09,1
10,0.99,0.01,1.4607460779421692e-06,1.6751899176260309e-07,3.791316923606279e-06,1.142681770983818e-06,1e-07,4
10,0.99,0.05,5.219751292680716e-05,5.413577127839126e-07,0.0001762146004823704,4.615530981249498e-05,1e-07,1
10,0.99,0.1,0.00039840142338179007,1.8085000838123042e-05,0.002983879473670852,0.0006731258591148271,1e-05,3
10,0.99,0.3,0.002314113641092728,5.502590780985238e-06,0.006757336087559788,0.0020599927661189487,1e-06,1
10,0.99,0.5,0.01088742612060997,0.00024055388706557365,0.04391334758155279,0.013499569022032434,0.0001,2
10,0.995,0.005,5.230905587376588e-07,2.351022978610994e-09,1.6769042160301457e-06,4.4353474911008355e-07,1e-09,1
10,0.995,0.01,2.1027356088157815e-06,8.777581043289225e-08,8.537349225206273e-06,2.108031703430156e-06,1e-08,1
10,0.995,0.05,8.095942429784069e-05,1.7489188300361427e-06,0.00035812138786327414,8.871735350539452e-05,1e-06,1
10,0.995,0.1,0.00026907049829634326,4.54323827043001e-06,0.0013600995282344768,0.0003243409177742565,1e-06,1
10,0.995,0.3,0.0030940893512511666,3.840934165722273e-05,0.02934459451900567,0.0062225921945087215,1e-05,1
10,0.995,0.5,0.008321686533542136,0.0005190103495082782,0.023948602045209655,0.006669507280205733,0.0001,1
10,0.999,0.005,7.392078991577183e-07,4.171249793524637e-08,2.7546238115652907e-06,6.919687588853203e-07,1e-08,1
10,0.999,0.01,4.414867993269394e-06,9.227955496578554e-08,2.771615707582535e-05,6.093717323519259e-06,1e-08,1
10,0.999,0.05,8.517244296678606e-05,2.132666181979837e-06,0.00025286814825184044,7.52199243256061e-05,1e-06,1
10,0.999,0.1,0.0003377707468484727,1.8762786821958032e-06,0.0010990729752142416,0.00035192830023973677,1e-06,1
10,0.999,0.3,0.0031613513278046005,0.00015498187556150676,0.013126102519976073,0.0035123168583510206,0.0001,1
10,0.999,0.5,0.00871331488575203,0.0005757029863189807,0.027106172412428586,0.007520763323777693,0.0001,1
