T0,alpha,step_size,mean,best,worst,std,epsilon,near_optimal_count
10,0.95,0.01,-19.05904057085925,-47.19454117631984,18.340706532137673,14.711730001001712,0.01,1
10,0.95,0.05,-12.548850559882853,-34.28107003420363,9.888058374624563,13.048553796161917,0.01,1
10,0.95,0.1,15.124909680208782,-19.982765063164727,54.54465236972881,18.065396766056903,0.01,1
10,0.95,0.3,82.82119988322498,52.90951826628358,107.7321622793251,14.413285312508267,0.01,1
10,0.99,0.01,-19.432778402464074,-50.84777778028479,6.346540336121478,15.365623605944306,0.01,1
10,0.99,0.05,-9.527126185489065,-35.279322101146995,17.88820548132919,13.006765348656167,0.01,1
10,0.99,0.1,9.564170566634774,-17.763219507008635,24.094933302436132,10.168422740733883,0.01,1
10,0.99,0.3,83.13689491968516,55.52209924995612,102.36476853372228,12.488514924823685,0.01,1
10,0.995,0.01,-16.29862122847868,-39.330170488355186,7.137965545167102,11.401908202227883,0.01,1
10,0.995,0.05,-10.379962734563676,-25.726613458882277,13.592042133986176,10.948894335488156,0.01,1
10,0.995,0.1,5.415584935703537,-25.014294958474686,42.75274084533666,16.44888684581746,0.01,1
10,0.995,0.3,77.34437607765959,44.2778984505339,118.42982757064519,18.54248159623871,0.01,1
50,0.95,0.01,-15.6157867236894,-39.73346034353361,9.81316600738599,12.433754515342212,0.01,1
50,0.95,0.05,-6.8870775800174515,-38.11003081841669,11.925362321317918,10.697594616945542,0.01,1
50,0.95,0.1,11.895913796450007,-21.332419334822866,40.113975116247694,15.929667519894112,0.01,1
50,0.95,0.3,77.2859065167204,53.10705176732757,112.80533059121299,12.573882726342884,0.01,1
50,0.99,0.01,-14.03778151144312,-43.19481705120922,14.555183864766787,12.400782303680323,0.01,1
50,0.99,0.05,-10.46477884670277,-32.05125271619079,13.732104293134302,11.939032382044099,0.01,1
50,0.99,0.1,8.53533083421117,-28.368102344698247,43.89086697552445,17.931278085666364,0.01,1
50,0.99,0.3,77.95773842586031,58.75378169422801,101.1071577481209,11.728302831128833,0.01,1
50,0.995,0.01,-11.834569524196109,-47.59181419253249,6.738037817742897,14.698296858533842,0.01,1
50,0.995,0.05,-13.945081184858918,-36.21870967032845,14.739523206844959,12.581703617042468,0.01,1
50,0.995,0.1,-1.2035512566730968,-27.787210099230915,17.80254286047294,11.82937598180582,0.01,1
50,0.995,0.3,75.07376654752707,48.75673646413189,96.50236031610116,12.202219838084645,0.01,1
100,0.95,0.01,-14.715711746479888,-35.97317303370891,13.970849451507727,12.39252631932311,0.01,1
100,0.95,0.05,-8.556363923920175,-36.954395883063086,18.24450770844947,13.579545083464543,0.01,1
100,0.95,0.1,13.007674657582829,-14.223367402468488,44.42416903882297,13.414114454081533,0.01,1
100,0.95,0.3,82.24166450594359,57.36571838059379,104.5908167444155,11.03209841401099,0.01,1
100,0.99,0.01,-11.18943296227668,-32.340335653418435,9.934956797000767,10.97673095138758,0.01,1
100,0.99,0.05,-8.859866530792996,-30.808223669374478,15.814551945376971,13.544013155716263,0.01,1
100,0.99,0.1,5.299654461072601,-17.833214413375927,29.19571684109504,8.896083541375125,0.01,1
100,0.99,0.3,77.13298492718766,43.27016168579769,96.17195954710272,12.65963011073908,0.01,1
100,0.995,0.01,-15.768290677330262,-43.52952383856791,3.0576574627547903,12.05043792329428,0.01,1
100,0.995,0.05,-13.836034154334797,-40.03591446833944,16.573593005278017,13.537876170263452,0.01,1
100,0.995,0.1,5.806954813949726,-20.28623068334581,27.139180329493353,13.540854325130233,0.01,1
100,0.995,0.3,78.84645547130368,52.879546582673115,108.49627177048137,12.938987099628134,0.01,1
