T0,alpha,step_size,rmse,rmed,best,worst,std,epsilon,near_optimal_count,mean,mse,med,mean_runtime
10,0.9,0.005,1.016137192481841e-06,0.0012823475081366574,1.6958028553685815e-08,2.861166291879322e-06,7.343442648039784e-07,1e-08,1,7.02334175940757e-07,1.0325347939448778e-12,0.0010241532045740516,0.1467042636871338
10,0.9,0.01,2.3687977842665447e-05,0.006447590381484791,1.2767421002268688e-07,0.0001105913403479897,2.1777135152259876e-05,1e-07,1,9.320766000432398e-06,5.611202942746092e-10,0.0041341407392893464,0.10131264686584472
10,0.9,0.05,0.00015003651792153193,0.017044996355394724,2.5156039262264036e-06,0.0004602157074715396,0.00011725431088061217,1e-06,1,9.36076027357336e-05,2.251095671001817e-08,0.013318811665249801,0.06166126251220703
10,0.9,0.1,0.00044513453532328177,0.0303162787442116,8.809110789591136e-06,0.0010451603453395164,0.0003090695473151666,1e-06,1,0.000320344766556084,1.9814475453747397e-07,0.024391434162669534,0.06233322143554688
10,0.9,0.3,0.004161609657182816,0.08409333413868393,0.00010103155700850382,0.008614698472095176,0.002717272911622879,0.0001,2,0.0031520505805773162,1.7318994938757276e-05,0.06684930252128259,0.05470613479614258
10,0.9,0.5,0.01900826057693868,0.1785141098624152,0.0003553184704608354,0.08305652333466314,0.015869384509125124,0.0001,1,0.010463106874267351,0.0003613139701608012,0.13221552806210582,0.039395503997802735
10,0.95,0.005,8.67662302721634e-07,0.0012941370782121088,7.550663100643523e-08,3.41859853254956e-06,6.563869180037865e-07,1e-08,2,5.674452268172662e-07,7.528378715642083e-13,0.0010018772701670447,0.1448084831237793
10,0.95,0.01,3.6823706045998626e-06,0.002603334759900439,1.2439808639962844e-07,8.652484860609933e-06,2.446531836245053e-06,1e-07,2,2.7521510212669227e-06,1.3559853269621156e-11,0.002132076991792114,0.1348232936859131
10,0.95,0.05,0.0001035160747397564,0.011772960878785765,1.7584150204142775e-06,0.0002970702101136635,7.019752200604159e-05,1e-06,1,7.607815477348371e-05,1.0715577729526833e-08,0.010078255683786135,0.1292398166656494
10,0.95,0.1,0.00035486600638033947,0.025846621758726988,1.3198586751112976e-05,0.0008329095578258577,0.0002522175720401804,1e-05,2,0.0002496320869569606,1.2592988248433112e-07,0.020981876244421514,0.12611559867858887
10,0.95,0.3,0.004096885531261421,0.08852967578781694,9.69474302020618e-06,0.011866978249876037,0.0028910304896669677,1e-06,1,0.0029028285798639824,1.6784471056259172e-05,0.07168205510578547,0.08188334465026856
10,0.95,0.5,0.015968423615765146,0.17213848434235676,0.00024227718468199523,0.05003596096473976,0.013162245079196612,0.0001,3,0.009041341562383908,0.00025499055277252607,0.12213538431918124,0.055000829696655276
10,0.99,0.005,9.83057233956112e-07,0.0011786321001896413,8.49691700259788e-09,3.80867507340238e-06,7.234307604774935e-07,1e-09,1,6.65619606102763e-07,9.66401525233442e-13,0.000903113625922607,0.18664758682250976
10,0.99,0.01,5.126916692545951e-06,0.0028899189915242824,8.702191207776137e-08,1.6271551303887708e-05,3.7364893304321335e-06,1e-08,1,3.5105444386694696e-06,2.6285274772306313e-11,0.0023961300030196832,0.13173089027404786
10,0.99,0.05,8.0298637110017e-05,0.011868258132051,1.5349952102731526e-06,0.00018697968040965615,5.687050243267802e-05,1e-06,2,5.668877379853055e-05,6.4478711217262e-09,0.009295196903920758,0.13659583091735839
10,0.99,0.1,0.0009122378429065325,0.03478810758700852,4.6533370801367025e-06,0.003371310898126965,0.0007437241426874684,1e-06,1,0.0005282539934676822,8.321778820307636e-07,0.026535287323229587,0.12262313842773437
