T0,alpha,step_size,mean,best,worst,std,epsilon,near_optimal_count
10,0.95,0.005,13.431889266767365,2.337871980806483e-05,40.792978679385584,10.342223924688675,1e-05,1
10,0.95,0.01,12.586204538681198,0.9949630149742461,24.873748898068946,6.103148700165598,0.01,1
10,0.95,0.05,18.15935355817472,1.992235726504214,40.79667653338008,10.907894519177761,0.01,1
10,0.95,0.1,14.927273452965817,1.99331881400731,33.83000471537743,9.496736296430162,0.01,1
10,0.95,0.3,7.307365937551995,1.0170234786378742,24.887000137228732,6.383584068090208,0.01,2
10,0.95,0.5,0.23158723695091013,0.002597492670183499,1.0744824730755713,0.3523860882486365,0.001,1
10,0.99,0.005,18.35688027360726,2.3546283998143736e-06,49.74744925446,11.523693827068966,1e-06,1
10,0.99,0.01,15.620832887447179,1.9899667955070832,40.79303157054554,9.703174972469746,0.01,1
10,0.99,0.05,15.323725201240887,0.0007607526080448679,40.79737245302939,12.598710449126232,0.0001,1
10,0.99,0.1,13.188203318590956,0.9999615404594664,40.794166857023264,10.88454105668,0.01,2
10,0.99,0.3,5.8132509735291595,0.011234903110514338,24.910215155602767,6.887629626515137,0.01,1
10,0.99,0.5,0.40727916794703534,0.01752471326752847,2.3579239914340153,0.5639213291179441,0.01,2
10,0.995,0.005,17.262451282884644,0.9949729924277513,33.82832920841053,10.47903806719925,0.01,1
10,0.995,0.01,17.212720006455164,1.9900246150190721,40.79298081977885,11.265787743750892,0.01,1
10,0.995,0.05,9.25455761552159,0.9977742623857857,25.86938139668643,7.318464851346915,0.01,1
10,0.995,0.1,15.276356590446326,0.995216272052506,40.79680707695286,10.49242983985041,0.01,1
10,0.995,0.3,2.6361760585383105,0.012045658644490587,9.963912669706268,2.590401028365827,0.01,2
10,0.995,0.5,0.4146581396278649,0.0007016749070878348,1.2752632241271709,0.40109880664950326,0.0001,1
10,0.999,0.005,16.217748414190048,1.9899342547740364,40.792970101859524,10.967487210372271,0.01,1
10,0.999,0.01,17.46148129401771,0.9949879755276072,40.79304884265119,12.093753721219107,0.01,2
10,0.999,0.05,13.831270088126013,0.9969683376121914,40.794003142018866,9.998726092090001,0.01,1
10,0.999,0.1,8.411552077454482,0.0036971365899400865,31.85166046388209,7.88242336668483,0.001,1
10,0.999,0.3,0.8479340272333282,0.003619779078684715,2.019220623781658,0.6857955354836371,0.001,1
10,0.999,0.5,0.12834164232165612,0.0006730532893559626,0.3820532256586233,0.11075876154024941,0.0001,1
50,0.95,0.005,14.426825404778194,0.9949621018792687,40.79297289844127,12.264552311653576,0.01,3
50,0.95,0.01,20.048340350737988,0.9949597101186853,40.7930375760041,11.129553257189416,0.01,2
50,0.95,0.05,12.487615985315307,0.9953514640018657,31.839787862127743,10.690698066596145,0.01,4
50,0.95,0.1,14.928835742886864,1.000081179518114,49.74779929371864,14.184291489732741,0.01,1
50,0.95,0.3,7.205795806853665,1.0010210276744917,24.959222933014956,7.049398598934051,0.01,2
50,0.95,0.5,0.37890221761197107,0.010782886552053839,1.4197709426175802,0.4604422827564112,0.01,1
50,0.99,0.005,15.869525801434529,0.9949668055794589,31.83850196226243,9.82171418830514,0.01,1
50,0.99,0.01,17.660466418161104,0.0001299548811335427,40.79301299846381,10.023200445487557,0.0001,1
50,0.99,0.05,16.019818254422173,0.9959572626737643,40.793713576197554,10.382344444369023,0.01,1
50,0.99,0.1,13.039183238349324,1.992223896366614,25.873210843572046,7.3310259483004305,0.01,2
50,0.99,0.3,4.078673717495732,0.011175983191110461,19.931216860805343,4.374282662841961,0.01,1
50,0.99,0.5,0.26782520316547237,0.01964092131358619,1.2657175767561046,0.33158964904070176,0.01,2
50,0.995,0.005,14.27760897389797,0.9949814226536517,31.838508524651072,8.36750768334028,0.01,1
50,0.995,0.01,15.073589761120491,0.9949912562884116,28.853597305126414,9.37723125829824,0.01,2
50,0.995,0.05,13.283736783439327,1.9903174149818135,40.79321880897993,10.239893196826559,0.01,2
50,0.995,0.1,12.494180586488499,0.008926544301214534,49.78053105420239,12.11208128843891,0.001,1
50,0.995,0.3,3.5933331321162854,0.23264205172159436,16.04943696340225,3.932656825130367,0.01,1
50,0.995,0.5,0.17270129977555237,0.006979796475905076,1.2354026082909275,0.26278798065570247,0.001,2
50,0.999,0.005,17.51119282806453,0.9950215385912937,40.79298429913804,10.192283968751198,0.01,1
50,0.999,0.01,17.809739645714007,1.9900858533086598,40.79297761456672,9.112885430209941,0.01,1
50,0.999,0.05,11.294201318522921,0.9962221778836504,25.86912311857667,6.55603366187229,0.01,1
