lr,sigma,T0,ascent_method,rmse,rmed,best,worst,std,epsilon,near_optimal_count,mean,mse,med,mean_runtime
0.001,0.1,0.1,ascent,55.86177372121179,18.923848227674128,42.489484119206686,66.60119567878206,12.055855779787688,0.01,1,54.54533989899437,3120.537763279868,14.588514321285208,2.1695945262908936
0.001,0.1,1.0,ascent,54.05402588331862,16.33321188184514,44.22386343223742,62.35323032141777,9.064683444590173,0.01,1,53.288546876827596,2921.8377141944793,13.645252490779141,2.5038065910339355
0.01,0.001,0.01,ascent,53.43207216456036,16.01323547109268,43.16943529572082,62.0191303377123,9.42484752099574,0.01,1,52.59428281671656,2854.986335798786,13.267329771925956,1.900748610496521
0.01,0.001,0.1,ascent,38.13151941886197,17.50894353515016,33.78933940595519,42.02744447252603,4.119052533285419,0.01,1,37.90839193924061,1454.0127731910475,16.596204542364113,2.5011197328567505
0.01,0.001,1.0,ascent,32.115758179765706,9.453729055384098,8.91568162539437,44.53486800336317,17.8095931889844,0.01,1,26.72527481437877,1031.4219234611878,8.141006241103025,2.0789824724197388
0.01,0.01,0.01,ascent,69.4773434145214,29.878591541979702,66.24665393851342,72.56433929851167,3.1588426799991254,0.01,1,69.40549661851254,4827.101247939339,29.690110658356332,2.7938807010650635
0.01,0.01,0.1,ascent,55.78814185653806,20.3259625962961,44.74654588395779,64.97984437550838,10.116649245775292,0.01,1,54.863195129733086,3112.3167718052136,17.766332734242418,2.6079821586608887
0.01,0.01,1.0,ascent,48.96386553501238,15.983806204246033,35.178113757340704,59.64411596073114,12.23300110169522,0.01,1,47.41111485903592,2397.4601281307732,14.11720025744209,2.647648572921753
0.01,0.1,0.01,ascent,53.57727134420285,13.670185322978005,52.56325539482795,54.572449016685795,1.0045968109289234,0.01,1,53.56785220575687,2870.52400469034,13.633909047587878,2.1495696306228638
0.01,0.1,0.1,ascent,66.84138841096735,27.315024913788054,60.47007344263883,72.65612587561677,6.093026216488969,0.01,1,66.5630996591278,4467.771204705801,26.61550957525921,2.578539252281189
0.01,0.1,1.0,ascent,63.674015138062316,29.17362767700711,40.47553985371261,80.43936275950288,19.981911452895137,0.01,1,60.45745130660775,4054.3802038021886,20.885767395643043,1.6664079427719116
0.05,0.001,0.01,ascent,52.15651173039495,15.89274287068019,41.39445649710854,61.049999206180516,9.827771354535987,0.01,1,51.22222785164453,2720.3017158828266,12.538328274406728,1.7778993844985962
0.05,0.001,0.1,ascent,50.22114325745774,29.785792390895335,22.318171880452667,67.42570477263666,22.553766446092,0.01,1,44.871938326544665,2522.163230086093,28.325343241346467,1.6846342086791992
0.05,0.001,1.0,ascent,41.45352147593995,35.597409912727024,30.607007130923947,50.0,9.696496434538027,0.01,1,40.30350356546197,1718.3944427562146,27.930494198485622,1.874170184135437
0.05,0.01,0.01,ascent,59.936136864537545,24.56843096058242,59.3085506699828,60.55721940376091,0.6243343668890553,0.01,1,59.93288503687185,3592.340502244577,24.306159957713554,1.8983893394470215
0.05,0.01,0.1,ascent,57.05640303788951,24.568049105279595,52.50914905646627,61.267083500114325,4.378967221824027,0.01,1,56.8881162782903,3255.433127622087,24.33772627965399,1.9147417545318604
0.05,0.01,1.0,ascent,60.24309894216347,24.249037496694086,57.103974880547085,63.22656082021577,3.0612929698343407,0.01,1,60.165267850381426,3629.2309701552977,24.20840370031877,1.7813714742660522
0.05,0.1,0.01,ascent,80.62908128387684,40.852929181749325,80.59167075585724,80.66647446209325,0.03740185311800559,0.01,1,80.62907260897524,6501.048748682018,40.85218207766118,2.5003377199172974
0.05,0.1,0.1,ascent,79.5976915178869,41.850484361876795,78.90833133890105,80.28113249863617,0.6864005798675592,0.01,1,79.59473191876862,6335.792494976685,41.84918907906385,1.964015245437622
0.05,0.1,1.0,ascent,80.19074812094524,40.70070475951107,79.86021571195285,80.51992371353892,0.3298540007930342,0.01,1,80.19006971274588,6430.556084196884,40.696012052987946,1.7859653234481812
