lr,sigma,T0,rmse,rmed,best,worst,std,epsilon,near_optimal_count,mean,mse,med,mean_runtime
0.0001,0.1,0.01,570.4695839678592,2.3519805163096397,5.4779425287960395,1395.056658451967,354.23922726470636,0.01,1,447.15782012547436,325435.5462324624,2.2522719889192517,0.009965634346008301
0.0001,0.1,0.1,409.3102608148818,2.3950836080279236,1.684178281103198,952.8322073722716,280.5497353033337,0.01,1,298.03814458819863,167534.8896083466,2.2667523551498245,0.023380494117736815
0.0001,0.1,1.0,146.35405946015211,1.6272806968446585,0.009635089075936224,512.4447330712236,127.23987116801754,0.001,1,72.31546104127413,21419.51072046574,1.4962174499146992,0.09367601871490479
0.0001,0.1,10.0,145.03900787863324,1.5044165074419042,0.004303882637123718,460.91892186457045,133.49457369285716,0.001,1,56.70549004268075,21036.31380641824,1.3306355878350151,0.1455503821372986
0.0001,0.5,0.01,319.4425593657494,2.1452607293376027,0.039301925771764556,909.2733465088877,268.95333700029244,0.01,1,172.35907649598093,102043.5487341403,1.9877590017880267,0.1449582576751709
0.0001,0.5,0.1,121.77725066083019,1.6771486932462372,0.005152382362300105,449.37258627598453,105.48386670837243,0.001,1,60.851069364153204,14829.698778510667,1.5240998611616436,0.2598898530006409
0.0001,0.5,1.0,43.34739554778473,1.464639920994284,0.009212222614174832,187.58997593206752,41.36615934326313,0.001,2,12.955213698116754,1878.9967007761074,1.2915726949850819,0.3279762268066406
0.0001,0.5,10.0,18.43482285445551,0.7200312877335634,0.00025683453905491925,82.41467265007039,17.92911945369241,0.0001,1,4.288282790393329,339.8426936751552,0.5316421131810581,0.6934529542922974
0.0001,1.0,0.01,341.659423034261,2.0017538416008915,2.2040294704895373,1012.6275866821011,238.67154960413603,0.01,1,244.4730102847031,116731.16134810413,1.7912614255375388,0.3812979578971863
0.0001,1.0,0.1,87.29682891273805,1.4382241506523656,0.0008904365729007598,322.3275923799996,79.68211256540869,0.0001,1,35.65806045389172,7620.736338219857,1.2254576688865684,0.5138617753982544
0.0001,1.0,1.0,5.095162117425062,0.9372380328469411,4.5434118495620785e-05,19.016335536582414,4.721664421794181,1e-05,1,1.914826908837051,25.960677002843436,0.7620601312501776,0.5251779198646546
0.0001,1.0,10.0,0.47659389191976914,0.5323911920127857,0.00012298421360958217,2.119894505278131,0.4554930039347675,0.0001,1,0.14024215194339557,0.22714173781523259,0.4167530371481405,0.6591361045837403
0.0001,2.0,0.01,519.7283786980494,2.1232780300576826,0.5705484823191844,1389.5375528585625,404.74995287448587,0.01,1,326.02923683652136,270117.58762410306,2.0031417285105033,0.8878891944885254
0.0001,2.0,0.1,156.11386410261724,1.52537773713406,0.0015953390174253898,455.0639121013276,136.31370281656902,0.001,1,76.09279196800803,24371.538565050443,1.3074257287773898,0.8342555165290833
0.0001,2.0,1.0,93.28749240940398,0.9821770502161464,0.002991058354908649,417.1827480782496,90.86025442593203,0.001,1,21.141674618854196,8702.556240034606,0.7520049405570652,0.840970253944397
0.0001,2.0,10.0,0.0736369079737795,0.48599377816672296,0.0002255868020428206,0.22182232221754353,0.044735124925083455,0.0001,1,0.058490707072799596,0.005422394215938872,0.45865719345820394,0.8731613516807556
0.001,0.1,0.01,9.429443990665417,0.5202222676636725,1.2478017890333735e-06,41.35403223975781,9.083720913061185,1e-06,16,2.529906786170393,88.91441397309616,0.21569956931812034,0.5303118109703064
0.001,0.1,0.1,51.737770131772656,0.23396941761848125,1.247777595724861e-06,231.37834203780378,50.42774026123805,1e-06,19,11.568918287949746,2676.7968582081467,0.05468882623494718,0.5599798083305358
0.001,0.1,1.0,1.2485244571659518e-06,0.0024995192537560626,1.2478341941874273e-06,1.2530912709007143e-06,1.0857099752125084e-09,1e-06,20,1.248523985102162e-06,1.5588133201415345e-12,0.0024995187659888336,0.5166886448860168
0.001,0.1,10.0,1.2484173396388374e-06,0.0024994120656864956,1.2477993731844811e-06,1.2532177310187696e-06,1.1270056223740114e-09,1e-06,20,1.248416830937984e-06,1.5585458539109122e-12,0.00249941154915243,0.5941821575164795
0.001,0.5,0.01,0.023583942327385445,0.1464999451744435,1.2480125859796306e-06,0.10543963770350383,0.02292194999018722,1e-06,8,0.005548562367748864,0.0005562023357014429,0.054546628134032125,0.6190404891967773
0.001,0.5,0.1,1.2489155665804286e-06,0.002500134104540541,1.2478185400118206e-06,1.253071289093187e-06,1.6545389866105627e-09,1e-06,20,1.2489144706294562e-06,1.5597900924469133e-12,0.002500132910689089,0.549448835849762
0.001,0.5,1.0,1.2484203307322166e-06,0.002499415093298878,1.247775075841592e-06,1.2524217528812702e-06,9.571719681722652e-10,1e-06,20,1.2484199637971834e-06,1.5585533221855373e-12,0.0024994146833939744,0.6911361575126648
0.001,0.5,10.0,1.248805547528274e-06,0.0024999123273916637,1.2479875940891598e-06,1.2525698022060404e-06,1.2419061867537993e-09,1e-06,20,1.2488049300056498e-06,1.5595152955373922e-12,0.0024999115994847297,0.7012961626052856
0.001,1.0,0.01,2.2710259511720077,0.9540453821718095,1.2485564942006277e-06,7.935668033649797,2.0647440622132143,1e-06,1,0.9457223844511644,5.157558870896722,0.7344566326366333,1.1282180190086364
0.001,1.0,0.1,1.4049678274461905e-06,0.0025938159903610178,1.2477749747710935e-06,3.1181428076797327e-06,4.070593284433422e-07,1e-06,19,1.3447071425727326e-06,1.973934596158868e-12,0.0025745500908705985,0.5993265628814697
